date, valuePerTh
2020-12-25,0.193
2020-12-26,0.186
2020-12-27,0.202
2020-12-28,0.205
2020-12-29,0.209
2020-12-30,0.206
2020-12-31,0.222
2021-01-01,0.191
2021-01-02,0.23
2021-01-03,0.253
2021-01-04,0.241
2021-01-05,0.235
2021-01-06,0.274
2021-01-07,0.281
2021-01-08,0.293
2021-01-09,0.28
2021-01-10,0.281
2021-01-11,0.234
2021-01-12,0.239
2021-01-13,0.248
2021-01-14,0.26
2021-01-15,0.28
2021-01-16,0.229
2021-01-17,0.243
2021-01-18,0.234
2021-01-19,0.254
2021-01-20,0.23
2021-01-21,0.235
2021-01-22,0.211
2021-01-23,0.24
2021-01-24,0.184
2021-01-25,0.227
2021-01-26,0.216
2021-01-27,0.206
2021-01-28,0.205
2021-01-29,0.253
2021-01-30,0.215
2021-01-31,0.239
2021-02-01,0.21
2021-02-02,0.275
2021-02-03,0.238
2021-02-04,0.282
2021-02-05,0.261
2021-02-06,0.26
2021-02-07,0.242
2021-02-08,0.269
2021-02-09,0.321
2021-02-10,0.304
2021-02-11,0.33
2021-02-12,0.35
2021-02-13,0.338
2021-02-14,0.293
2021-02-15,0.334
2021-02-16,0.312
2021-02-17,0.363
2021-02-18,0.332
2021-02-19,0.391
2021-02-20,0.366
2021-02-21,0.363
2021-02-22,0.35
2021-02-23,0.357
2021-02-24,0.371
2021-02-25,0.323
2021-02-26,0.312
2021-02-27,0.301
2021-02-28,0.274
2021-03-01,0.319
2021-03-02,0.329
2021-03-03,0.328
2021-03-04,0.304
2021-03-05,0.332
2021-03-06,0.311
2021-03-07,0.324
2021-03-08,0.325
2021-03-09,0.332
2021-03-10,0.375
2021-03-11,0.358
2021-03-12,0.383
2021-03-13,0.384
2021-03-14,0.397
2021-03-15,0.37
2021-03-16,0.361
2021-03-17,0.349
2021-03-18,0.425
2021-03-19,0.377
2021-03-20,0.369
2021-03-21,0.358
2021-03-22,0.341
2021-03-23,0.345
2021-03-24,0.331
2021-03-25,0.332
2021-03-26,0.325
2021-03-27,0.35
2021-03-28,0.339
2021-03-29,0.352
2021-03-30,0.365
2021-03-31,0.389
2021-04-01,0.338
2021-04-02,0.353
2021-04-03,0.341
2021-04-04,0.341
2021-04-05,0.363
2021-04-06,0.351
2021-04-07,0.359
2021-04-08,0.296
2021-04-09,0.407
2021-04-10,0.344
2021-04-11,0.34
2021-04-12,0.35
2021-04-13,0.368
2021-04-14,0.409
2021-04-15,0.426
2021-04-16,0.289
2021-04-17,0.369
